Year,DHS_AREA,Indicator,RSE,students,yes,no
2018,Victoria,10.3,4,188,19,169
2018,Victoria -  Metropolitan,9.8,,188,18,170
2018,Victoria -  Regional,11.8,7.1,188,22,166
2018,Victoria -  Female,10,5.6,188,19,169
2018,Victoria -  Male,9.8,6,188,18,170
2018,Victoria -  Year 8,4,9,188,8,180
2018,Victoria -  Year 11,18.6,4.3,188,35,153
2018,Victoria -  LBOTE,5.9,11.7,188,11,177
2018,Victoria -  Not LBOTE,11.4,4.3,188,21,167
2018,Victoria -  LBOTE unknown,5.6,53.3,188,11,177
2018,Victoria -  Couple family,8.5,5.4,188,16,172
2018,Victoria -  One parent family,16.2,7,188,30,158
2018,Victoria -  Other family,20,16.9,188,38,150
2018,Victoria -  Family type unknown,7.9,14.3,188,15,173
2018,Barwon ,17.1,29.5,188,32,156
2018,Bayside Peninsula ,7.7,20.3,188,14,174
2018,Brimbank Melton,4.7,25.9,188,9,179
2018,Central Highlands ,12.4,18.6,188,23,165
2018,Goulburn ,8.8,21.6,188,17,171
2018,Hume Moreland ,9.6,14.8,188,18,170
2018,Inner Eastern Melbourne ,12.1,9.5,188,23,165
2018,Inner Gippsland ,11.2,15.3,188,21,167
2018,Loddon ,9.9,17.3,188,19,169
2018,Mallee,6.5,23,188,12,176
2018,North Eastern Melbourne ,10.5,12,188,20,168
2018,Outer Eastern Melbourne ,12.4,12.4,188,23,165
2018,Outer Gippsland ,20.2,14,188,38,150
2018,Ovens Murray ,12,14.4,188,23,165
2018,Southern Melbourne ,8.1,13.4,188,15,173
2018,Western District ,12.5,15.5,188,24,164
2018,Western Melbourne ,10.5,10.5,188,20,168
